iter	Passed	Remaining
0	14	8440
1	22	6827
2	31	6277
3	40	6092
4	49	5884
5	57	5730
6	66	5629
7	74	5513
8	82	5404
9	91	5386
10	100	5390
11	109	5374
12	119	5393
13	128	5381
14	137	5368
15	146	5346
16	155	5332
17	164	5314
18	173	5297
19	182	5281
20	190	5262
21	200	5255
22	208	5237
23	218	5233
24	226	5217
25	235	5208
26	244	5190
27	253	5178
28	262	5161
29	270	5143
30	279	5136
31	288	5125
32	297	5119
33	306	5106
34	315	5091
35	324	5082
36	333	5073
37	342	5058
38	351	5053
39	360	5051
40	370	5051
41	381	5069
42	393	5093
43	404	5108
44	415	5127
45	426	5141
46	439	5173
47	452	5201
48	464	5223
49	476	5243
50	489	5270
51	502	5299
52	515	5318
53	528	5347
54	543	5387
55	559	5431
56	573	5465
57	589	5504
58	601	5518
59	616	5545
60	631	5577
61	646	5606
62	660	5632
63	674	5648
64	687	5659
65	699	5658
66	710	5652
67	722	5650
68	733	5643
69	745	5643
70	757	5645
71	769	5646
72	782	5649
73	794	5646
74	807	5654
75	822	5668
76	835	5677
77	849	5685
78	862	5686
79	875	5688
80	888	5691
81	900	5689
82	913	5690
83	928	5701
84	942	5710
85	956	5715
86	969	5714
87	982	5714
88	995	5716
89	1008	5714
90	1019	5702
91	1029	5687
92	1041	5677
93	1054	5675
94	1066	5670
95	1078	5660
96	1090	5657
97	1103	5653
98	1115	5646
99	1128	5641
100	1140	5633
101	1152	5628
102	1166	5629
103	1180	5631
104	1195	5634
105	1214	5658
106	1240	5717
107	1258	5734
108	1275	5745
109	1287	5737
110	1304	5745
111	1316	5736
112	1329	5728
113	1342	5721
114	1356	5719
115	1370	5718
116	1386	5722
117	1400	5721
118	1413	5713
119	1426	5707
120	1440	5704
121	1454	5699
122	1468	5696
123	1483	5692
124	1498	5692
125	1512	5691
126	1525	5681
127	1536	5665
128	1547	5649
129	1558	5634
130	1570	5622
131	1583	5614
132	1595	5603
133	1609	5597
134	1622	5587
135	1634	5577
136	1646	5563
137	1658	5553
138	1671	5543
139	1684	5533
140	1696	5523
141	1709	5514
142	1722	5503
143	1735	5496
144	1749	5489
145	1763	5483
146	1777	5477
147	1794	5481
148	1815	5495
149	1878	5636
150	1905	5667
151	1918	5653
152	1930	5639
153	1943	5627
154	1955	5615
155	1968	5601
156	1980	5587
157	1993	5575
158	2008	5569
159	2022	5562
160	2038	5557
161	2053	5551
162	2069	5548
163	2085	5543
164	2101	5540
165	2117	5535
166	2132	5528
167	2146	5519
168	2160	5509
169	2176	5504
170	2188	5491
171	2201	5477
172	2213	5462
173	2226	5450
174	2238	5437
175	2251	5423
176	2264	5411
177	2279	5403
178	2293	5393
179	2309	5388
180	2325	5383
181	2341	5378
182	2356	5369
183	2369	5356
184	2385	5350
185	2398	5338
186	2412	5328
187	2426	5316
188	2438	5302
189	2449	5285
190	2460	5268
191	2471	5252
192	2483	5237
193	2495	5223
194	2507	5207
195	2519	5193
196	2532	5181
197	2547	5172
198	2560	5160
199	2574	5148
200	2588	5137
201	2601	5126
202	2615	5114
203	2628	5102
204	2641	5090
205	2655	5078
206	2668	5067
207	2682	5055
208	2694	5041
209	2707	5027
210	2718	5011
211	2728	4993
212	2739	4977
213	2751	4962
214	2763	4948
215	2776	4935
216	2788	4921
217	2803	4912
218	2817	4901
219	2831	4891
220	2846	4881
221	2862	4873
222	2875	4861
223	2890	4852
224	2907	4845
225	2923	4838
226	2941	4833
227	2958	4827
228	2975	4820
229	2992	4814
230	3009	4807
231	3026	4800
232	3042	4792
233	3057	4782
234	3072	4771
235	3084	4757
236	3099	4746
237	3113	4735
238	3127	4724
239	3143	4715
240	3161	4709
241	3178	4702
242	3194	4693
243	3210	4684
244	3226	4675
245	3240	4663
246	3258	4656
247	3273	4646
248	3289	4637
249	3305	4627
250	3321	4618
251	3337	4608
252	3352	4598
253	3367	4586
254	3383	4577
255	3396	4563
256	3409	4550
257	3422	4536
258	3436	4523
259	3448	4509
260	3458	4492
261	3470	4476
262	3482	4461
263	3495	4448
264	3509	4436
265	3522	4423
266	3535	4409
267	3549	4397
268	3563	4385
269	3577	4372
270	3590	4359
271	3602	4344
272	3616	4332
273	3630	4319
274	3642	4304
275	3655	4290
276	3667	4276
277	3679	4261
278	3690	4245
279	3701	4229
280	3712	4214
281	3724	4200
282	3737	4186
283	3750	4172
284	3763	4159
285	3776	4146
286	3790	4133
287	3805	4122
288	3820	4111
289	3833	4098
290	3846	4084
291	3859	4070
292	3872	4058
293	3886	4045
294	3898	4030
295	3912	4017
296	3923	4002
297	3933	3986
298	3944	3970
299	3955	3955
300	3966	3939
301	3978	3925
302	3989	3910
303	4001	3895
304	4012	3881
305	4024	3866
306	4034	3850
307	4047	3837
308	4060	3824
309	4073	3811
310	4088	3799
311	4102	3786
312	4116	3774
313	4129	3761
314	4144	3749
315	4159	3738
316	4175	3727
317	4191	3717
318	4206	3705
319	4223	3695
320	4235	3681
321	4246	3666
